,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Component 3,Role 3,Mole Fraction 3,Exact Amount 3,EnthalpyOfVaporization Value (kJ / mol),EnthalpyOfVaporization Uncertainty (kJ / mol),DielectricConstant Value (),DielectricConstant Uncertainty (),EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Density Value (g / ml),Density Uncertainty (g / ml),ExcessMolarVolume Value (cm ** 3 / mol),ExcessMolarVolume Uncertainty (cm ** 3 / mol),Source
0,cdedb582124741a3afaa875c9f4baaf2,298.15,101.325,Liquid + Gas,1,CC(=O)OCC=C(C)C,Solvent,1.0,,,,,,,,,,47.8,1.5,,,,,,,,,10.1016/j.jct.2015.02.015
1,549bb2b4a1e14223ae6e1914acffdfa2,298.15,101.325,Liquid + Gas,1,C/C=C/C=C/COC(C)=O,Solvent,1.0,,,,,,,,,,54.7,1.55,,,,,,,,,10.1016/j.jct.2015.02.015
2,d50bda070748490caaea9c5048ba112f,298.15,101.325,Liquid + Gas,1,CC/C=C\CCOC(=O)CC,Solvent,1.0,,,,,,,,,,55.7,1.2,,,,,,,,,10.1016/j.jct.2015.02.015
3,d72f100eaece4e2b8f725afd4ef11deb,298.15,101.325,Liquid + Gas,1,C=CCOC(=O)CCCCC,Solvent,1.0,,,,,,,,,,55.2,1.7,,,,,,,,,10.1016/j.jct.2015.02.015
4,4d8d2bb089a1458abae59bd56aa84960,298.15,101.325,Liquid + Gas,1,CCCCCOC(=O)CCC,Solvent,1.0,,,,,,,,,,53.6,0.85,,,,,,,,,10.1016/j.jct.2015.02.015
5,8cbdce08c40540eeba3695657c8ff2de,298.15,101.325,Liquid + Gas,1,CC(C)CCOC(=O)C(C)C,Solvent,1.0,,,,,,,,,,51.7,1.7,,,,,,,,,10.1016/j.jct.2015.02.015
6,3e1b0e650fe44c35923bc3b347b5def1,298.15,101.325,Liquid + Gas,1,CC(=O)OCCc1ccccc1,Solvent,1.0,,,,,,,,,,61.3,1.45,,,,,,,,,10.1016/j.jct.2015.02.015
7,9cd7607d64414cb8a73eb48dd4c132c8,298.15,101.325,Liquid + Gas,1,CC/C=C\CCOC(=O)CCC,Solvent,1.0,,,,,,,,,,59.9,1.85,,,,,,,,,10.1016/j.jct.2015.02.015
8,0afeb29ef1b44442b7b72a80542c3d00,298.15,101.325,Liquid + Gas,1,CCOC(=O)/C=C/c1ccccc1,Solvent,1.0,,,,,,,,,,70.4,1.6,,,,,,,,,10.1016/j.jct.2015.02.015
9,4380a9894f3048f098b856b9fd6cfc1d,298.15,101.325,Liquid + Gas,1,CCC(=O)OCCc1ccccc1,Solvent,1.0,,,,,,,,,,65.6,1.75,,,,,,,,,10.1016/j.jct.2015.02.015
10,3f66458880b442abaa1d4235e179028a,298.15,101.325,Liquid + Gas,1,CC/C=C\CCCCOC(=O)CC,Solvent,1.0,,,,,,,,,,65.3,1.75,,,,,,,,,10.1016/j.jct.2015.02.015
11,63b92010d2ab4a2baaf4a4c19c3cf5f1,298.15,101.325,Liquid + Gas,1,CCCCCCCOC(=O)CCC,Solvent,1.0,,,,,,,,,,65.1,1.3,,,,,,,,,10.1016/j.jct.2015.02.015
12,1f1b0188bccb455f8c8ec514bb9bc522,298.15,101.325,Liquid + Gas,1,CCCC(=O)OCCc1ccccc1,Solvent,1.0,,,,,,,,,,69.7,1.6,,,,,,,,,10.1016/j.jct.2015.02.015
13,7b5f10c806bc437684a7bc12ef7130aa,298.15,101.325,Liquid + Gas,1,CCCCCC(=O)OCCc1ccccc1,Solvent,1.0,,,,,,,,,,78.8,1.7,,,,,,,,,10.1016/j.jct.2015.02.015
14,113c773313c74cd2935415ae2e8851e5,298.15,101.325,Liquid,1,Cc1ccccc1N,Solvent,1.0,,,,,,,,,,,,,,,,0.9943510000000002,0.00011800000000000002,,,10.1016/j.jct.2010.12.028
15,1e9cf09528ac4b2eb9b790f62501e3f8,298.15,101.325,Liquid,1,c1ccncc1,Solvent,1.0,,,,,,,,,,,,,,,,0.9782490000000003,0.00011800000000000002,,,10.1016/j.jct.2010.12.028
16,eae2d5d19e95407cbf22ea8417fc6d07,298.15,101.325,Liquid,1,Cc1ccccn1,Solvent,1.0,,,,,,,,,,,,,,,,0.9398020000000002,0.0003845000000000001,,,10.1016/j.jct.2010.12.028
17,132fce0f661a46ccb86ac0ac1dd02143,298.15,101.325,Liquid,1,Cc1cccnc1,Solvent,1.0,,,,,,,,,,,,,,,,0.9520020000000001,0.00011800000000000002,,,10.1016/j.jct.2010.12.028
18,693815c1c9e34ba1a3f60e7db415b9ce,298.15,101.325,Liquid,1,Cc1ccncc1,Solvent,1.0,,,,,,,,,,,,,,,,0.9501790000000002,0.00011800000000000002,,,10.1016/j.jct.2010.12.028
19,83d8d8ba8a83415b907fd9dcf67d798f,308.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.0397,,c1ccncc1,Solvent,0.9603,,,,,,,,,,-0.2174,0.0051,,,,,10.1016/j.jct.2010.12.028
20,9fb724079eab4859824e4dbe702f4d11,308.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.0728,,c1ccncc1,Solvent,0.9272,,,,,,,,,,-0.3741,0.00795,,,,,10.1016/j.jct.2010.12.028
21,caba71fbf4f14b2bb96ec73bd6c4367a,308.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.1263,,c1ccncc1,Solvent,0.8737,,,,,,,,,,-0.5716,0.0118,,,,,10.1016/j.jct.2010.12.028
22,43761803fceb4acaa38d02d18f26023e,308.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.1742,,c1ccncc1,Solvent,0.8258,,,,,,,,,,-0.7163,0.01465,,,,,10.1016/j.jct.2010.12.028
23,4cd8cf73711f4cd3b34955421acfb80e,308.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.2163,,c1ccncc1,Solvent,0.7837000000000001,,,,,,,,,,-0.8046,0.01645,,,,,10.1016/j.jct.2010.12.028
24,79be1943679844278536e67ccd93464f,308.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.2681,,c1ccncc1,Solvent,0.7319,,,,,,,,,,-0.8915,0.0182,,,,,10.1016/j.jct.2010.12.028
25,4027a193b43e4e598178efe37eec1e80,308.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.3192,,c1ccncc1,Solvent,0.6808000000000001,,,,,,,,,,-0.9615,0.0196,,,,,10.1016/j.jct.2010.12.028
26,c9963c58c15546cbb5264225ba5987e9,308.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.3707,,c1ccncc1,Solvent,0.6293,,,,,,,,,,-1.0021,0.0204,,,,,10.1016/j.jct.2010.12.028
27,a7bfdea24eb046f09464623a291884d8,308.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.4212,,c1ccncc1,Solvent,0.5788,,,,,,,,,,-1.0254,0.0209,,,,,10.1016/j.jct.2010.12.028
28,66cff6a5f50b44b7b179fc397868e14e,308.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.4826,,c1ccncc1,Solvent,0.5174000000000001,,,,,,,,,,-1.0329,0.02105,,,,,10.1016/j.jct.2010.12.028
29,d857122e6cd24f518743d65f20a32206,308.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.5261,,c1ccncc1,Solvent,0.4739,,,,,,,,,,-1.0253,0.0209,,,,,10.1016/j.jct.2010.12.028
30,67faf27e6b1e4941b3c98773646c4be2,308.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.5815,,c1ccncc1,Solvent,0.4185,,,,,,,,,,-1.0066,0.0205,,,,,10.1016/j.jct.2010.12.028
31,ff85df16311b4950bc15c0f1dc459f50,308.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.6327,,c1ccncc1,Solvent,0.36729999999999996,,,,,,,,,,-0.9633,0.01965,,,,,10.1016/j.jct.2010.12.028
32,2495f77cd88f4f86ab2555fe787b36f9,308.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.7026,,c1ccncc1,Solvent,0.2974,,,,,,,,,,-0.8931,0.0182,,,,,10.1016/j.jct.2010.12.028
33,6a9ff9b302c641edba3eb2fa8c82240b,308.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.7735,,c1ccncc1,Solvent,0.22650000000000003,,,,,,,,,,-0.7828,0.016,,,,,10.1016/j.jct.2010.12.028
34,006b06faf3044424b2ee07d760654dff,308.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.8177,,c1ccncc1,Solvent,0.18230000000000002,,,,,,,,,,-0.6899,0.01415,,,,,10.1016/j.jct.2010.12.028
35,860f9c9f7abd43faaae2d65a46db3304,308.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.8802,,c1ccncc1,Solvent,0.11980000000000002,,,,,,,,,,-0.5159,0.0107,,,,,10.1016/j.jct.2010.12.028
36,3c45a70853dd49df8befabaa38a8c61b,308.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.9723,,c1ccncc1,Solvent,0.027699999999999947,,,,,,,,,,-0.1446,0.00365,,,,,10.1016/j.jct.2010.12.028
37,90562a927aa849ad98941426221ad5ef,298.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.0652,,c1ccncc1,Solvent,0.9348,,,,,,,,,,,,0.9808540000000002,0.00011850000000000002,,,10.1016/j.jct.2010.12.028
38,aa919d9321a7498da92737f8f8e1d50f,298.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.1138,,c1ccncc1,Solvent,0.8862,,,,,,,,,,,,0.9826070000000002,0.00011850000000000002,,,10.1016/j.jct.2010.12.028
39,4912211e383f4cc18c23c3da7a826977,298.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.1477,,c1ccncc1,Solvent,0.8523000000000001,,,,,,,,,,,,0.9837310000000002,0.00011800000000000002,,,10.1016/j.jct.2010.12.028
40,240ec81777fc4b9386c8366f3f838f9a,298.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.1853,,c1ccncc1,Solvent,0.8147,,,,,,,,,,,,0.9848950000000002,0.00011800000000000002,,,10.1016/j.jct.2010.12.028
41,c359f226eab84b3d9de1136608aa70c6,298.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.2374,,c1ccncc1,Solvent,0.7626,,,,,,,,,,,,0.9863750000000002,0.00011800000000000002,,,10.1016/j.jct.2010.12.028
42,aef482999fac4bb3b9e5fe8a177ec33f,298.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.2686,,c1ccncc1,Solvent,0.7314,,,,,,,,,,,,0.9871720000000003,0.00011800000000000002,,,10.1016/j.jct.2010.12.028
43,bfbaf52ae85f49f6a8ed73d9b67e9f51,298.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.3005,,c1ccncc1,Solvent,0.6995,,,,,,,,,,,,0.9879370000000003,0.00011750000000000002,,,10.1016/j.jct.2010.12.028
44,9df99932108f4976bff05313ce27c463,298.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.3526,,c1ccncc1,Solvent,0.6474,,,,,,,,,,,,0.9890580000000002,0.00011750000000000002,,,10.1016/j.jct.2010.12.028
45,09bae166f6cf4c02b696bc4cce433ebd,298.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.4104,,c1ccncc1,Solvent,0.5896,,,,,,,,,,,,0.9901190000000003,0.00011750000000000002,,,10.1016/j.jct.2010.12.028
46,c48c22000c36451dae1c0ecdbad4912d,298.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.4837,,c1ccncc1,Solvent,0.5163,,,,,,,,,,,,0.9912370000000003,0.00011700000000000004,,,10.1016/j.jct.2010.12.028
47,bbe6296ea2fd4fadba7fe230126f06de,298.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.5238,,c1ccncc1,Solvent,0.47619999999999996,,,,,,,,,,,,0.9917510000000002,0.00011700000000000004,,,10.1016/j.jct.2010.12.028
48,8f969765def34b718f26aafada389179,298.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.5641,,c1ccncc1,Solvent,0.43589999999999995,,,,,,,,,,,,0.9921870000000003,0.00011700000000000004,,,10.1016/j.jct.2010.12.028
49,77c66e7c872b499fa7cc77cb9abcd631,298.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.6231,,c1ccncc1,Solvent,0.3769,,,,,,,,,,,,0.9927300000000002,0.00011700000000000004,,,10.1016/j.jct.2010.12.028
50,0e3e205c631d4a4d84b037b486045e0e,298.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.6974,,c1ccncc1,Solvent,0.3026,,,,,,,,,,,,0.9932530000000003,0.00011700000000000004,,,10.1016/j.jct.2010.12.028
51,8c4e2152958b441aabe2d4bc50fce7a5,298.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.7678,,c1ccncc1,Solvent,0.23219999999999996,,,,,,,,,,,,0.9936220000000002,0.00011700000000000004,,,10.1016/j.jct.2010.12.028
52,7f1d4abfb78b46e6a81a4acb4f87cd0c,298.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.8236,,c1ccncc1,Solvent,0.1764,,,,,,,,,,,,0.9938380000000002,0.00011700000000000004,,,10.1016/j.jct.2010.12.028
