Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,SolvationFreeEnergy Value (kJ / mol),SolvationFreeEnergy Uncertainty (kJ / mol),Source
bc090eb3ab4e4a5e825eb63cf7b4e00a,298.0,101.325,Liquid,2,Cc1ccccn1,Solvent,1.0,,CCCCCCCC,Solute,,1,-19.79032,0.8368000000000001,10.13020/3eks-j059
76bf98963f0248e5980c21f3083e3fc5,298.0,101.325,Liquid,2,Cc1ccccn1,Solvent,1.0,,Cc1ccccc1,Solute,,1,-21.171039999999998,0.8368000000000001,10.13020/3eks-j059
d68a40c5c5dc405f9060b62fcfe3df17,298.0,101.325,Liquid,2,Cc1ccccn1,Solvent,1.0,,CCO,Solute,,1,-20.96184,0.8368000000000001,10.13020/3eks-j059
fdda9d361e144ddf9248acad8770c910,298.0,101.325,Liquid,2,Cc1ccccn1,Solvent,1.0,,C1COCCO1,Solute,,1,-20.96184,0.8368000000000001,10.13020/3eks-j059
5c5b174e956842f4acf0b7374ed3567e,298.0,101.325,Liquid,2,Cc1ccccn1,Solvent,1.0,,CCC(C)=O,Solute,,1,-18.91168,0.8368000000000001,10.13020/3eks-j059
a7ca7aa2a6094ea690fe7d6667b96df8,298.0,101.325,Liquid,2,Cc1ccccn1,Solvent,1.0,,Cc1ccccn1,Solute,,1,-23.89064,0.8368000000000001,10.13020/3eks-j059
b6d23e478903440f8ef6d090109fb80d,298.0,101.325,Liquid,2,CC(=O)CC(C)C,Solvent,1.0,,c1ccc2ccccc2c1,Solute,,1,-31.170800000000003,0.8368000000000001,10.13020/3eks-j059
0f857d9dc066449ea8e2cc16ed6a32cf,298.0,101.325,Liquid,2,CC(=O)CC(C)C,Solvent,1.0,,Oc1ccccc1,Solute,,1,-39.245920000000005,0.8368000000000001,10.13020/3eks-j059
3e47eb82b9cd4065a0ceaa88c113e398,298.0,101.325,Liquid,2,CC(=O)CC(C)C,Solvent,1.0,,Cc1cccc(O)c1,Solute,,1,-36.777359999999994,0.8368000000000001,10.13020/3eks-j059
5e6cbc30b7114332b2587b3b6507cc83,298.0,101.325,Liquid,2,CC(=O)CC(C)C,Solvent,1.0,,CC(=O)O,Solute,,1,-26.484720000000003,0.8368000000000001,10.13020/3eks-j059
